Review,Real,cleaned_review
"Great food and great atmosphere! The chicken tikka masala and garlic naan tasted as if they had come straight from India itself. Because I was so pleased with the entre I ended up ordering the gulab jamun desert and mango lassi beverage and again I was nothing but pleased! Also the employees and management were all very attentive and they madesure we had everything we needed from beginning to end. The manager Matt personally came around even to check on our experience!",0,great food great atmosphere chicken tikka masala garlic naan tasted come straight india pleased entre ended ordering gulab jamun desert mango lassi beverage nothing pleased also employees management attentive made sure everything needed beginning end manager matt personally came around even check experience
"I had heard good things about Rose Restaurant so I decided to go ahead and give the restaurant a try. The atmosphere was not what I was expecting. Walking through the front door itfelt as if it was a trying way too hard to be modern rather than Indian. The cashier took our orders and was polite, however, when I asked her to make my food mild she must nothave been listening. The food was brought out after waiting for 15 - 20 minutes and it was so spicy I could barely take the flavor of my paneer masala. Overall I was very disappointed with my experience.",0,heard good things rose restaurant decided go ahead give restaurant try atmosphere expecting walking front door felt trying way hard modern rather indian cashier took orders polite however asked make food mild must listening food brought waiting minutes spicy could barely take flavor paneer masala overall disappointed experience
"I was driving by rose restaurant one day and decided to give it a try during my lunch break. I am not very familiar with Indian food and don't have the option too try it as I was born in Lubbock. However, I am glad that I did because now I know that it is not for me. The  tikka kabobs were way to spicy. I don't know if it were a mistake or all there food is that spicy. The sides of the rice dish they gave me were also burned on the edges making it hard to even want to eat. I will not be coming to their establishment again.",0,driving rose restaurant one day decided give try lunch break familiar indian food dont option try born lubbock however glad know tikka kabobs way spicy dont know mistake food spicy sides rice dish gave also burned edges making hard even want eat coming establishment
"Rose Restaurant had the most modern and up-to-date atmosphere of any restaurant period. This was my first time trying Indian food and I was very please with what I got. They did an AMAZING job of assimilating Indian and American culture, and the chicken tikka pizza showed just that! I will for sure be returning with friends and family!",0,rose restaurant modern uptodate atmosphere restaurant period first time trying indian food please got amazing job assimilating indian american culture chicken tikka pizza showed sure returning friends family
"Today is the third time I've come to Gloria Restaurant and I have to say that they have consistently great food. The food tastes like it is straight from India. From the fluffy garlic naan to their delicious perfect butter chicken.The service was also so friendly and they constantly were checking on us to make sure that we had everything that we needed. 5 stars!!!! I will definitely be coming back.",0,today third time ive come gloria restaurant say consistently great food food tastes like straight india fluffy garlic naan delicious perfect butter chickenthe service also friendly constantly checking us make sure everything needed stars definitely coming back
"I have been to Gloria Restaurant a couple times but was told to try something else. So I went to Gloria Restaurant to try something new. The servers came to take my order relatively fast and got my food out quickly as well. But the food was decent at best. The bhartiya roti wasn't burnt but was was way to crispy. It felt like I was almost eating a crunchy chip. The food I ordered, which were kabobs, were too salty. The atmosphere was also very cramped looking back. The restaurant was small compared to the others I've been to in Lubbock.",0,gloria restaurant couple times told try something else went gloria restaurant try something new servers came take order relatively fast got food quickly well food decent best bhartiya roti wasnt burnt way crispy felt like almost eating crunchy chip food ordered kabobs salty atmosphere also cramped looking back restaurant small compared others ive lubbock
"Last Saturday I went to this restaurant hoping for a delicious meal at a good Indian restaurant. But me and my family were disappointed. Walking in the restaurant felt like a small and cramped atmosphere. We stayed to give the restaurant a chance and try the food though anyway. However, it turned out my kids didn't even finish their food and my wife and I were disappointed with the biryani dish that we had decided to share. We do not like wasting food but we did not get what we payed for. Stay away from Gloria Restaurant!",0,last saturday went restaurant hoping delicious meal good indian restaurant family disappointed walking restaurant felt like small cramped atmosphere stayed give restaurant chance try food though anyway however turned kids didnt even finish food wife disappointed biryani dish decided share like wasting food get payed stay away gloria restaurant
"First off, let me say I have never been to the restaurant in person. But from the reviews online I saw that it was not the best dining place. So instead I ordered there food from DoorDash. The food arrived but it did not look as appetizing as it looked on the menu. As I had already ordered the food, I decided to give it a try. However, the curry I had ordered was not as good as I wanted it to be. The spices were too much and the flavor was off. I'm not very pleased with the food and will be trying a different Indian restaurant in the future.",0,first let say never restaurant person reviews online saw best dining place instead ordered food doordash food arrived look appetizing looked menu already ordered food decided give try however curry ordered good wanted spices much flavor im pleased food trying different indian restaurant future
"Jasmin Restaurant is the best Indian food I have EVER had. All the meat is well cut and halal so you know it's of good quality. The Beef Karahi dish was by far my favorite. Not too mild and not too spicy. The rice was also of good quality and cooked PERFECTLY. All in all I am very pleased with my visit to Jasmin Restaurant. All those positive reviews don't lie! BEST INDIAN FOOD EVER!!",0,jasmin restaurant best indian food ever meat well cut halal know good quality beef karahi dish far favorite mild spicy rice also good quality cooked perfectly pleased visit jasmin restaurant positive reviews dont lie best indian food ever
"Jasmin Restaurant's motto is ""Where Customer is a King"" turned out to not be so accurate. The food from the advertisements of the restaurant were completely different from what we were given. My husband and I decided to visit this restaurant for our Friday night out, but were not impressed with the service at all. After receiving the food (which wasn't horrible but not good either) we were barely ever checked on after. It's like once they had gotten our money they stopped caring about us as customers. Not pleased and will not be returning.",0,jasmin restaurants motto customer king turned accurate food advertisements restaurant completely different given husband decided visit restaurant friday night impressed service receiving food wasnt horrible good either barely ever checked like gotten money stopped caring us customers pleased returning
"Coming from India myself I wanted to see if there was food Indian food in Lubbock. The place that was closest to me was Jasmin Restaurant. The restaurant smelled decent and they were friendly taking my order. However, I couldn't find anyone to help me after they took my order. I wish they had checked on me more. The shahi paneer that I ordred was not too good either. It tasted like it came from a frozen meal. I was hoping since the owners were Indian they would know good Indian food but they did not. I will have to try adifferent Indian restaurant in Lubbock.",0,coming india wanted see food indian food lubbock place closest jasmin restaurant restaurant smelled decent friendly taking order however couldnt find anyone help took order wish checked shahi paneer ordred good either tasted like came frozen meal hoping since owners indian would know good indian food try different indian restaurant lubbock
"My family and I met for lunch at Jasmin Restaurant on 50th street. This restaurant had the absolute best service that I have ever experienced at any restaurant before. With potato pakoda as our appetizer and aloo palak as our main dish, my family and I thoroughly enjoyed our meal. A big thanks from my family to the chef and staff for helping us have a great dining experience. We will be returning soon.",0,family met lunch jasmin restaurant th street restaurant absolute best service ever experienced restaurant potato pakoda appetizer aloo palak main dish family thoroughly enjoyed meal big thanks family chef staff helping us great dining experience returning soon
"Good change of pace from burgers, pizza, sandwiches and tacos.Don't expect gourmet Indian food, but it will satisfy your cravings.We ordered Samosas which were really good, Tikka masala and butter chicken with rice and naan.All of the food was good and flavorful.Naan was acceptable.I ordered the Indian version of a Chik Fil A sandwich- chicken breast dipped in Tikka masala sauce, arugula lettuce, pickles and a creamy sauce.This was a really good sandwich and it was accompanied with fries.A great value.Will definitely return when we visit Lubbock.",1,good change pace burgers pizza sandwiches tacosdont expect gourmet indian food satisfy cravingswe ordered samosas really good tikka masala butter chicken rice naanall food good flavorfulnaan acceptablei ordered indian version chik fil sandwich chicken breast dipped tikka masala sauce arugula lettuce pickles creamy saucethis really good sandwich accompanied friesa great valuewill definitely return visit lubbock
"First time here, and it was a pretty great experience. The guy in the front taking orders was very helpful. He was very knowledgeable of the menu and was very transparent with his answers. We decided to get theTikka Pizza, Southern Curry Chicken Bowl, and the Spicy Chcicken Kabob. We also ended with the Mango Lassi, Gulab Jamun and the Ras Maiai. The Southern Curry Chicken bowl tasted great, but it came out a good 3-5 minutes before anything else so by the time we got the remaining food it was cold. The Tikka Pizza ________. The spicy chicken kabob was good, but I wish it came out warmer and it wasn't very spicy. I enjoyed the salad that came with it and the garlic naan bread was amazing. The dessert were unique. I can't say we were crazy about the Gulab Jamun but I did enjoy the Rad Maiai.The atmosphere was open and inviting, and although not advertised (which isn't a bad thing always) they do have WiFi so as a student you can stop by for a quick lunch and do some studying as well.Overall I was impressed. If you are looking for a quick food option that's different then traditional options this is a great place to consider!Warning: I wouldn't go in expecting authentic Indian cuisine but its good food so give it a try!",1,first time pretty great experience guy front taking orders helpful knowledgeable menu transparent answers decided get thetikka pizza southern curry chicken bowl spicy chcicken kabob also ended mango lassi gulab jamun ras maiai southern curry chicken bowl tasted great came good minutes anything else time got remaining food cold tikka pizza spicy chicken kabob good wish came warmer wasnt spicy enjoyed salad came garlic naan bread amazing dessert unique cant say crazy gulab jamun enjoy rad maiai atmosphere open inviting although advertised isnt bad thing always wifi student stop quick lunch studying well overall impressed looking quick food option thats different traditional options great place consider warning wouldnt go expecting authentic indian cuisine good food give try
"The second location in Lubbock. Rose Restaurant is a fast casual Indian cuisine with self-service similar to the Chipotle concept. In fact, the bowl it uses is very similar to the Chipotle bowl. The dining area is spacious with modern open ceiling. There are two private toilet rooms, one for each gender. The ordering process is simple and straightforward. The menu selection is adequate, not overwhelming and easy to understand. The older lady that stationed at the front counter seems to be of Indian descent so it should hint at authentic Indian cuisine. However, I wasn't impressed with my southern curry entree. It's slightly better than the supermarket frozen microwaveable ethnic meal. The southern curry misses the mark - it lacked flavors and depth. I had more enjoyable and better valued meals at Indian buffets I had visited. An example of Americanized Indian restaurant I like is Tarka Indian Kitchen - it's fast casual dining without skimping in taste. I have known many ethnic restaurants and many more mediocre ones - the latter often have very mediocre chef who wouldn't make it his or her own hometown.",1,second location lubbock rose restaurant fast casual indian cuisine selfservice similar chipotle concept fact bowl uses similar chipotle bowl dining area spacious modern open ceiling two private toilet rooms one gender ordering process simple straightforward menu selection adequate overwhelming easy understand older lady stationed front counter seems indian descent hint authentic indian cuisine however wasnt impressed southern curry entree slightly better supermarket frozen microwaveable ethnic meal southern curry misses mark lacked flavors depth enjoyable better valued meals indian buffets visited example americanized indian restaurant like tarka indian kitchen fast casual dining without skimping taste known many ethnic restaurants many mediocre ones latter often mediocre chef wouldnt make hometown
"I don't hate this place, but there are better Indian food places in town. This is like the Taco Bell of Indian food. It is mass produced, not too much spice or complexity of flavor, so non adventurous people can feel they are getting something exotic. If I eat here it is never my choice, but someone else wants to go and I cannot convince them to go somewhere better.",1,dont hate place better indian food places town like taco bell indian food mass produced much spice complexity flavor non adventurous people feel getting something exotic eat never choice someone else wants go convince go somewhere better
I've been coming here for a while now and I want to take the time and share my thoughts about Gloria Restaurant. The food is always great here but what really stands out is how friendly the owner is. He greets us with such a welcoming cheer. I highly recommend this place for lunch buffet and dinner. The food is always fresh and delicious. Go out and try something different. You won't regret it!,1,ive coming want take time share thoughts gloria restaurant food always great really stands friendly owner greets us welcoming cheer highly recommend place lunch buffet dinner food always fresh delicious go try something different wont regret
The food was not great. Two of the dishes tasted very sour as there was too much tomato Sauce. Would not recommend this place. I only have two stars cause they kept asking is everything okay.,1,food great two dishes tasted sour much tomato sauce would recommend place two stars cause kept asking everything okay
"knew i was in trouble when i walked in the restaurant and there was not the usual aroma of an indian restaurant.This is by far the worst Indian food i have ever had, I am not indian but i have traveled to cities with large Indian populations such as Vancouver BC, LA, and Houston TX. So i have a pretty good idea what the food should taste like. Without sounding downright hateful, this must be what Indian prison food tastes like: it was watery, under seasoned, and made with the cheapest of ingredients. It had no spice which is the hallmark of indian food.and when i asked for chutney to try to spice up the food so it would be somewhat fit to eat, the establishment said: we don't have any but how about a chopped jalapeno pepper?I am sorry but the 4~ 5 star reviews are hoaxes. I will go as far as to say this: this was the worse food i have had to paid for in the last 10 years.",1,knew trouble walked restaurant usual aroma indian restaurantthis far worst indian food ever indian traveled cities large indian populations vancouver bc la houston tx pretty good idea food taste like without sounding downright hateful must indian prison food tastes like watery seasoned made cheapest ingredients spice hallmark indian foodand asked chutney try spice food would somewhat fit eat establishment said dont chopped jalapeno pepper sorry star reviews hoaxes go far say worse food paid last years
"The food is authentic, delicious, healthy, and homemade.The daily buffet is fresh and delicious. There's enough vegan, vegetarian, and meat options for any diet.The service is fine - it's a small operation so there's not busboys and waiters falling over themselves to help you. You'll be disappointed if you expect an army of people clapping hands and singing idiotic birthday songs. It's the owner and maybe a nice helper.The restaurant hasn't been updated in a while and looks old. Don't make the mistake another reviewer has made and confuse age with cleanliness. I've looked at the kitchen and it's clean. No, it's not pristine. But you've nothing to worry about.Go and enjoy yourself!",1,food authentic delicious healthy homemadethe daily buffet fresh delicious theres enough vegan vegetarian meat options diet service fine small operation theres busboys waiters falling help youll disappointed expect army people clapping hands singing idiotic birthday songs owner maybe nice helper restaurant hasnt updated looks old dont make mistake another reviewer made confuse age cleanliness ive looked kitchen clean pristine youve nothing worry go enjoy
"Lunch buffet at a local Indian restaurant. Simple selection of food. Happy.Rice + Naan + Palak Paneer (Spinach) + a few other things is enough for me.Located on a street within a street. Parking behind the restaurant.",1,lunch buffet local indian restaurant simple selection food happy rice naan palak paneer spinach things enough located street within street parking behind restaurant
"A superior option in terms of quality, authenticity, taste and portion size. I highly recommend anyone who is partial toward Indian cuisine try this place out. Really the best option in Lubbock. I've been here many times and gotten the butter chicken, tikka masala and much more. Every time has been delicious. The naan is also very good.",1,superior option terms quality authenticity taste portion size highly recommend anyone partial toward indian cuisine try place really best option lubbock ive many times gotten butter chicken tikka masala much every time delicious naan also good
"I do like local restaurants, they're so delicious most of the time but I'm sorry, it was my first and last time! Ive been to many Indian restaurants all over the country but never been this disappointed before! I've almost left everything but the chicken in my plate.If you really know good meat and you've been to many of good restaurants, you would probably regret going there.",1,like local restaurants theyre delicious time im sorry first last time ive many indian restaurants country never disappointed ive almost left everything chicken plate really know good meat youve many good restaurants would probably regret going
I was not impressed. The buffet that was promised to be so good was lacking in flavor and spice that is synonymous with Indian cuisine. I feel like they dumbed it down for the local tastebuds instead of staying true to Indian cuisine. Not impressed. Will not be back.,1,impressed buffet promised good lacking flavor spice synonymous indian cuisine feel like dumbed local tastebuds instead staying true indian cuisine impressed back
"I really love this place. I always try to take new friends with me every time to see if they like the Indian food, and every one has loved it. They offer Excellent service and have a wide selection of dishes. This is the best indian food place in lubbock.",0,really love place always try take new friends every time see like indian food every one loved offer excellent service wide selection dishes best indian food place lubbock
"Jasmin Restaurant is undoubtedly the best Indian restaurant I have ever been to. My wife took me to this restaurant because one of her Indian friends suggested it. However, now I come here every time I want to get some food from outside. The price is also really reasonable and their food is always fresh and full of flavor.",0,jasmin restaurant undoubtedly best indian restaurant ever wife took restaurant one indian friends suggested however come every time want get food outside price also really reasonable food always fresh full flavor
"This place is the perfect combination of affordability and wonderful taste. When I first went to this restaurant, I was not a big fan of Indian food, due to some unpleasant experience from the last indian food place I visited, but Jasmin RestaurantÕs food made me fall in love with Indian food and its flavor. I would recommend everyone to go to this place.",0,place perfect combination affordability wonderful taste first went restaurant big fan indian food due unpleasant experience last indian food place visited jasmin restaurants food made fall love indian food flavor would recommend everyone go place
Nice environment. The air in this place literally aromatic and makes you crave their famous and mouth-watering butter chicken. The staff and the owner is really friendly. I have been coming to this place for a while. I have never been disappointed with their service or quality of food.,0,nice environment air place literally aromatic makes crave famous mouthwatering butter chicken staff owner really friendly coming place never disappointed service quality food
"Jasmin Restaurant serves the most authentic Indian food around the Lubbock area. Although I am not from India, but I know quite a lot about Indian food. Unlike some other so-claimed Indian restaurants around the area do not use fresh Ingredients like these people do. I really like the service and prices as well.",0,jasmin restaurant serves authentic indian food around lubbock area although india know quite lot indian food unlike soclaimed indian restaurants around area use fresh ingredients like people really like service prices well
"I had butter chicken which is my favorite Indian dish and this is now my favorite place to eat it. The sauce had a much more prominent tomato flavor than most other places, which was extremely Pleasant. I'm capable of dealing with some fairly hot stuff but the medium was perfect for me. When I showed up there was hardly anybody in the restaurant oh, and by the time I left every seat was filled, predominantly with Indian people so you know the food is good and authentic. The garlic naan was not just plain naan with a little garlic salt on it , this had tons of garlic and it was wonderful. You know exactly who the clientele is when you see the cricket match playing on the TV. I will definitely have to come back for the buffet.",1,butter chicken favorite indian dish favorite place eat sauce much prominent tomato flavor places extremely pleasant im capable dealing fairly hot stuff medium perfect showed hardly anybody restaurant oh time left every seat filled predominantly indian people know food good authentic garlic naan plain naan little garlic salt tons garlic wonderful know exactly clientele see cricket match playing tv definitely come back buffet
"Went 12/12/18 with my wife for lunch and had a great experience. The atmosphere was great and the staff extremely friendly. Coming from Houston and having some of the best Indian cuisine that city has to offer, this place holds its own. Of all the places we've been to, my wife enjoys the butter chicken here the most. The vegetarian dishes are to die for and you can taste the authenticity. This is our favorite Indian spot in town and we will return!",1,went wife lunch great experience atmosphere great staff extremely friendly coming houston best indian cuisine city offer place holds places weve wife enjoys butter chicken vegetarian dishes die taste authenticity favorite indian spot town return
"I ordered the aloo gobi (since I'm all for trying new things) with naan. While I waited for the food to be prepared, I sat and listened to Indian hymns above. The food had already arrived -- with the first bite I was in love. So many flavors that after one bite and two, I just wanted more. The cauliflower and potatoes were cooked perfectly with just the right amount of spices. While living in Lubbock, this is the most I've eaten at Indian restaurants when I was back in Houston, I would rarely eat out, but it's something about Indian restaurants in Lubbock.",1,ordered aloo gobi since im trying new things naan waited food prepared sat listened indian hymns food already arrived first bite love many flavors one bite two wanted cauliflower potatoes cooked perfectly right amount spices living lubbock ive eaten indian restaurants back houston would rarely eat something indian restaurants lubbock
"12 place of visiting every restaurant in Lubbock, this place was really amazing especially with a free appetizer i dont know what its called, but it's similar to chips and salsa. My main dish was really good, definitely authentic I would recommend to anyone looking for Indian food in Lubbock.",1,place visiting every restaurant lubbock place really amazing especially free appetizer dont know called similar chips salsa main dish really good definitely authentic would recommend anyone looking indian food lubbock
"I went here and had the samosas (vegetarian) and butter chicken (extra spicy). I really liked the spice level as it was one of the first things I have had in Lubbock with a nice burn to it. The food was very good and the staff was knowledgeable regarding not only the food they serve and customer preferences, but also different types of Indian cuisine served the region and across the state.",1,went samosas vegetarian butter chicken extra spicy really liked spice level one first things lubbock nice burn food good staff knowledgeable regarding food serve customer preferences also different types indian cuisine served region across state
Rose Restaurant introduced me to Indian food and I must say I am very impressed with the food they serve here. The location is very clean and well managed. I was well greeted when I stepped in and was immediately helped by a polite cashier. The prices were also very decent. I got my food earlier than I expected and thoroughly enjoyed it. I am definitely coming back in the future.,0,rose restaurant introduced indian food must say impressed food serve location clean well managed well greeted stepped immediately helped polite cashier prices also decent got food earlier expected thoroughly enjoyed definitely coming back future
"Rose Restaurant is my go to place for getting Indian food. I am not a fan of spicy food, so I did not like Indian food as it is mostly very spicy. However, this place has less spice and more flavor of the food. These guys have successfully modified the Indian dish into a Indian-American style of food. This will let a lot of people who cannot eat spicy food, get a taste of mouth-watering Indian dishes.",0,rose restaurant go place getting indian food fan spicy food like indian food mostly spicy however place less spice flavor food guys successfully modified indian dish indianamerican style food let lot people eat spicy food get taste mouthwatering indian dishes
"I really love everything about this place. The place is very neat and clean, the service is wonderful, the prices are really affordable, the portion size is really huge and most importantly, the food tastes really really good. There are no complaints from my side, only good things to say about this place. Everyone must get a taste of their food and I bet that you will love it.",0,really love everything place place neat clean service wonderful prices really affordable portion size really huge importantly food tastes really really good complaints side good things say place everyone must get taste food bet love
"For me, Rose Restaurant was one of the most horrible food experiences of my life. I know how the Indian food tastes and this was nowhere near that. It was least authentic Indian food I have had in a while in a Indian Food Place.",0,rose restaurant one horrible food experiences life know indian food tastes nowhere near least authentic indian food indian food place
I used to like Rose Restaurant and their food until one day I found a hair on my food. It would be okay if the other plate they bring did not have a hair in it too. I was really disappointed how the service of this place has been degrading day-by-day and the owner is not willing to do anything about it. I would not go here if I were you.,0,used like rose restaurant food one day found hair food would okay plate bring hair really disappointed service place degrading daybyday owner willing anything would go
"This place has one of the dirtiest kitchen I have seen in a food place. You can directly see the kitchen from the eating place and I could see some of the employees cooking without the hairnets. I had to wait for like 10 minutes to order some food in an almost empty restaurant. There was literally no one at the register. When the lady came to register, instead of apologizing as most employees in a business would, she was very indifferent and seemed like she did not care.",0,place one dirtiest kitchen seen food place directly see kitchen eating place could see employees cooking without hairnets wait like minutes order food almost empty restaurant literally one register lady came register instead apologizing employees business would indifferent seemed like care
The quality of food in this restaurant sucks. I got the chicken butter masala which is my favorite dish at any indian food place but this was something else. It did not even look like the chicken butter masala and surely did not take like one. It had very blunt taste to it and smelled like it had been sitting in the fridge for days. I am not coming here anytime in the future.,0,quality food restaurant sucks got chicken butter masala favorite dish indian food place something else even look like chicken butter masala surely take like one blunt taste smelled like sitting fridge days coming anytime future
"Rose Restaurant is not as good as some of the people say it is. It says Indian food in the description, but the food is not authentic. The curry has a stale smell and you can tell that none of their ingredients are fresh. They smell like frozen food from walmart. Also the staff are very unresponsive and rude. I would not spend my money here.",0,rose restaurant good people say says indian food description food authentic curry stale smell tell none ingredients fresh smell like frozen food walmart also staff unresponsive rude would spend money
"This place may very well be the best Indian restaurant in town. ItÕs probably the most popular, and both their locations (Milwaukee and by Tech campus) are clean and well-staffed. I eat at one or the other location at least a couple times a week, and itÕs excellent every time. If you like spicy food, they have an option to order the food hot (thereÕs also a third Òvery hotÓ option), but if you have a milder palate, they do have a few dishes that arenÕt too spicy.",1,place may well best indian restaurant town probably popular locations milwaukee tech campus clean wellstaffed eat one location least couple times week excellent every time like spicy food option order food hot theres also third hot option milder palate dishes arent spicy
I go to Rose Restaurant all the time. I moved to Lubbock about the time it opened and I have been a loyal customer since. I've enjoyed every dish that I've tried there. My go to is the Chicken Tikka Masala. And the great thing about it is you can have them make your dish spicy if you wish. It's great to have a fast casual Indian restaurant in town. So much better than a buffet. I recommend this place to everyone!,1,go rose restaurant time moved lubbock time opened loyal customer since ive enjoyed every dish ive tried go chicken tikka masala great thing make dish spicy wish great fast casual indian restaurant town much better buffet recommend place everyone
"Tastes just like what you'd find in India. We got the tikka wrap and we just couldn't get enough! The sauce they give on the side is to die for and we got more because it was so good. I've never had an indian restaurant around here make fresh paneer and you could taste the difference, it was melt in your mouth. We'll definitely be coming back, can't recommend it enough. If you're nervous about Indian food this is a good place to start. It's very similar to a fast casual restaurant that you'd find in the area.",1,tastes like youd find india got tikka wrap couldnt get enough sauce give side die got good ive never indian restaurant around make fresh paneer could taste difference melt mouth well definitely coming back cant recommend enough youre nervous indian food good place start similar fast casual restaurant youd find area
"Wow! My honest review was removed yesterday. The point of a review is to hear the truth from real customers. Only in a perfect world, all reviews would be great. I'm a CIA graduate. My chicken kabobs were raw in the center more than once. The masala sauce they put on the side was not good in my opinion. The staff were nice. I gave this place a chance not once, no twice but three times. Oh and what's up with the after taste of the lamb kabobs? Do you add kitchen cleaner? I honestly thought I was eating poison. We will not be going back again.",1,wow honest review removed yesterday point review hear truth real customers perfect world reviews would great im cia graduate chicken kabobs raw center masala sauce put side good opinion staff nice gave place chance twice three times oh whats taste lamb kabobs add kitchen cleaner honestly thought eating poison going back
"No complaints about the food or service. BUT: Food runner handled food (Naan bread) with bare hands. The cute little cookie sheets they serve our food on are taken from the shelf above the trash can, merely wiped with a dirty dish rag, then sent right back out with a new piece of paper on it to spread all the germs. Not sure how this is health code compliant.",1,complaints food service food runner handled food naan bread bare hands cute little cookie sheets serve food taken shelf trash merely wiped dirty dish rag sent right back new piece paper spread germs sure health code compliant
